Wall time,Step,Value,Run,Tag
1694169187.4309459,15,2.97934889793396,original_runs_adj_weights_no_dropout,validation loss epoch 
1694169822.8355718,16,3.020916223526001,original_runs_adj_weights_no_dropout,validation loss epoch 
1694170459.0873828,17,2.945378541946411,original_runs_adj_weights_no_dropout,validation loss epoch 
1694171095.3325722,18,3.055586814880371,original_runs_adj_weights_no_dropout,validation loss epoch 
1694171730.8813224,19,3.0595645904541016,original_runs_adj_weights_no_dropout,validation loss epoch 
1694159652.118195,0,0.41834360361099243,original_runs_adj_weights_no_dropout,validation precision epoch
1694160286.8879669,1,0.39578160643577576,original_runs_adj_weights_no_dropout,validation precision epoch
1694160923.2480392,2,0.4139676094055176,original_runs_adj_weights_no_dropout,validation precision epoch
1694161557.7630653,3,0.409706711769104,original_runs_adj_weights_no_dropout,validation precision epoch
1694162193.3532486,4,0.41813111305236816,original_runs_adj_weights_no_dropout,validation precision epoch
1694162830.158704,5,0.41539129614830017,original_runs_adj_weights_no_dropout,validation precision epoch
1694163464.8786852,6,0.41308560967445374,original_runs_adj_weights_no_dropout,validation precision epoch
1694164099.9336617,7,0.40907198190689087,original_runs_adj_weights_no_dropout,validation precision epoch
1694164735.8184042,8,0.404585599899292,original_runs_adj_weights_no_dropout,validation precision epoch
1694165370.5272791,9,0.4200674295425415,original_runs_adj_weights_no_dropout,validation precision epoch
1694166005.647517,10,0.41047394275665283,original_runs_adj_weights_no_dropout,validation precision epoch
1694166642.7669876,11,0.4151995778083801,original_runs_adj_weights_no_dropout,validation precision epoch
1694167277.6319187,12,0.40889930725097656,original_runs_adj_weights_no_dropout,validation precision epoch
1694167912.7347329,13,0.41465988755226135,original_runs_adj_weights_no_dropout,validation precision epoch
1694168552.1881742,14,0.41455167531967163,original_runs_adj_weights_no_dropout,validation precision epoch
1694169187.4309657,15,0.4113104045391083,original_runs_adj_weights_no_dropout,validation precision epoch
1694169822.8355913,16,0.4173370897769928,original_runs_adj_weights_no_dropout,validation precision epoch
1694170459.0874014,17,0.4164206385612488,original_runs_adj_weights_no_dropout,validation precision epoch
1694171095.3325913,18,0.41117438673973083,original_runs_adj_weights_no_dropout,validation precision epoch
1694171730.8813415,19,0.41488155722618103,original_runs_adj_weights_no_dropout,validation precision epoch
1694159652.118212,0,0.41327667236328125,original_runs_adj_weights_no_dropout,validation recall epoch
1694160286.887985,1,0.39299193024635315,original_runs_adj_weights_no_dropout,validation recall epoch
1694160923.2480564,2,0.39984309673309326,original_runs_adj_weights_no_dropout,validation recall epoch
1694161557.763083,3,0.40312835574150085,original_runs_adj_weights_no_dropout,validation recall epoch
1694162193.3532665,4,0.40250182151794434,original_runs_adj_weights_no_dropout,validation recall epoch
1694162830.1587214,5,0.39638519287109375,original_runs_adj_weights_no_dropout,validation recall epoch
1694163464.8787022,6,0.38571083545684814,original_runs_adj_weights_no_dropout,validation recall epoch
1694164099.933679,7,0.3901449739933014,original_runs_adj_weights_no_dropout,validation recall epoch
1694164735.8184245,8,0.3949373662471771,original_runs_adj_weights_no_dropout,validation recall epoch
1694165370.5272963,9,0.39312583208084106,original_runs_adj_weights_no_dropout,validation recall epoch
1694166005.6475346,10,0.39771008491516113,original_runs_adj_weights_no_dropout,validation recall epoch
1694166642.7670047,11,0.3952323794364929,original_runs_adj_weights_no_dropout,validation recall epoch
1694167277.6319366,12,0.3964250087738037,original_runs_adj_weights_no_dropout,validation recall epoch
1694167912.7347763,13,0.3871379792690277,original_runs_adj_weights_no_dropout,validation recall epoch
1694168552.1881988,14,0.3950662314891815,original_runs_adj_weights_no_dropout,validation recall epoch
1694169187.4309828,15,0.3934546411037445,original_runs_adj_weights_no_dropout,validation recall epoch
1694169822.8356092,16,0.3926142156124115,original_runs_adj_weights_no_dropout,validation recall epoch
1694170459.0874178,17,0.3950435519218445,original_runs_adj_weights_no_dropout,validation recall epoch
1694171095.332608,18,0.39169222116470337,original_runs_adj_weights_no_dropout,validation recall epoch
1694171730.8813586,19,0.392030268907547,original_runs_adj_weights_no_dropout,validation recall epoch
1693958625.6001086,0,0.41502901911735535,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693958971.4050307,1,0.42225614190101624,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693959312.493284,2,0.41744154691696167,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693959655.8566132,3,0.41539615392684937,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693959998.3353148,4,0.4256441593170166,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693960340.471429,5,0.4264361262321472,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693960683.6592727,6,0.4248836934566498,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693961024.375941,7,0.4315968453884125,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693961367.6237879,8,0.4322681427001953,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693961710.285771,9,0.42869654297828674,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693962054.9372263,10,0.43030139803886414,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693962398.5459397,11,0.43071049451828003,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693962741.4850824,12,0.43313875794410706,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693963084.7736573,13,0.44058090448379517,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
1693963427.9918797,14,0.4331754744052887,rLSTM_batch30_intprop_ear_1fp250_fold1,training acc epoch
